id,date,time,competition,tournament,home_team,away_team,home_goals,away_goals,score,opponent,venue,result,played,stadium,stadium_fr,city,belgium_coach,referee,url
8423,2014-10-10,20:45,UEFA EC Qualifiers,France - 2016,Belgium,Andorra,6,0,6-0,Andorra,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Marc Wilmots,Sergii Boiko,https://www.rbfa.be/en/international-game/8423
8443,2014-10-13,20:45,UEFA EC Qualifiers,France - 2016,Bosnia-Herzegovina,Belgium,1,1,1-1,Bosnia-Herzegovina,away,D,true,Bilino Polje,Bilino Polje,Zenica,Marc Wilmots,Luca Banti,https://www.rbfa.be/en/international-game/8443
8549,2014-11-12,20:45,International friendly,,Belgium,Iceland,3,1,3-1,Iceland,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Marc Wilmots,Antony Gautier,https://www.rbfa.be/en/international-game/8549
8551,2014-11-16,18:00,UEFA EC Qualifiers,France - 2016,Belgium,Wales,0,0,0-0,Wales,home,D,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Marc Wilmots,Pavel Kralovec,https://www.rbfa.be/en/international-game/8551
8807,2015-03-28,20:45,UEFA EC Qualifiers,France - 2016,Belgium,Cyprus,5,0,5-0,Cyprus,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Marc Wilmots,Ovidiu Alin Hategan,https://www.rbfa.be/en/international-game/8807
8809,2015-03-31,20:45,UEFA EC Qualifiers,France - 2016,Israel,Belgium,0,1,0-1,Israel,away,W,true,Teddy Stadium,Teddy Stadium,Jeruzalem,Marc Wilmots,Mark Clattenburg,https://www.rbfa.be/en/international-game/8809
8966,2015-06-07,21:00,International friendly,,France,Belgium,3,4,3-4,France,away,W,true,Stade De France,Stade de France,Parijs,Marc Wilmots,Marijo Strahonja,https://www.rbfa.be/en/international-game/8966
8983,2015-06-12,20:45,UEFA EC Qualifiers,France - 2016,Wales,Belgium,1,0,1-0,Wales,away,L,true,Cardiff City Stadium,Cardiff City Stadium,Cardiff,Marc Wilmots,Felix Brych,https://www.rbfa.be/en/international-game/8983
8984,2015-09-03,20:45,UEFA EC Qualifiers,France - 2016,Belgium,Bosnia-Herzegovina,3,1,3-1,Bosnia-Herzegovina,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Marc Wilmots,Manuel Jorge Neves Moreira De Sousa,https://www.rbfa.be/en/international-game/8984
9004,2015-09-06,20:45,UEFA EC Qualifiers,France - 2016,Cyprus,Belgium,0,1,0-1,Cyprus,away,W,true,Gsp Stadion,Gsp Stadion,Nicosia,Marc Wilmots,Vladislav Bezborodov,https://www.rbfa.be/en/international-game/9004
