Date,Lieu,,Hôte,Visiteur,,Score,Compétition,Article,,Vidéo,,Vidéo
23/03/2025,Genk,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,Belgique,Ukraine,https://ds1.static.rtbf.be/uploader/image/9/9/a/beta_455cacaabcc92f25a262de72d8e4ddd2.png,3-0,Nations League 25,https://www.rtbf.be/article/les-diables-veulent-prendre-leur-revanche-contre-l-ukraine-direct-video-audio-et-commente-20h20-11522074,"<a href=""https://auvio.rtbf.be/media/diables-rouges-belgique-ukraine-23-mars-2025-3-0-3320702"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-belgique-ukraine-23-mars-2025-3-0-3320702,200,https://auvio.rtbf.be/media/diables-rouges-belgique-ukraine-23-mars-2025-3-0-3320702
20/03/2025,Murcie,https://ds1.static.rtbf.be/uploader/image/9/9/a/beta_455cacaabcc92f25a262de72d8e4ddd2.png,Ukraine,Belgique,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,3-1,Nations League 25,https://www.rtbf.be/article/les-diables-entament-leur-nouveau-cycle-avec-rudi-garcia-face-a-l-ukraine-avant-match-des-19h-11520184,"<a href=""https://auvio.rtbf.be/media/diables-rouges-ukraine-belgique-20-mars-2025-3-1-3319864"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-ukraine-belgique-20-mars-2025-3-1-3319864,200,https://auvio.rtbf.be/media/diables-rouges-ukraine-belgique-20-mars-2025-3-1-3319864
17/11/2024,Budapest,https://static-content.rtbf.be/uploader/image/3/8/9/beta_1e2669a1eac1218c7486b061c0ff57b5.png,Israël,Belgique,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,1-0,Nations League 25,https://www.rtbf.be/article/ligue-des-nations-israel-belgique-les-diables-en-quete-de-confiance-et-de-barrages-direct-audio-et-commente-20h45-11464146,"<a href=""https://auvio.rtbf.be/media/journal-televise-sujet-par-sujet-israel-belgique-17-novembre-2024-1-0-3271643"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/journal-televise-sujet-par-sujet-israel-belgique-17-novembre-2024-1-0-3271643,200,https://auvio.rtbf.be/media/journal-televise-sujet-par-sujet-israel-belgique-17-novembre-2024-1-0-3271643
14/11/2024,Bruxelles,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,Belgique,Italie,https://ds1.static.rtbf.be/uploader/image/d/f/1/beta_0ae637143d6f38c971f6e3c0be0c86a8.png,0-1,Nations League 25,https://www.rtbf.be/article/ligue-des-nations-les-diables-rouges-a-la-recherche-de-confiance-et-de-points-contre-l-italie-direct-audio-et-commente-20h45-11462875,"<a href=""https://auvio.rtbf.be/media/diables-rouges-belgique-italie-14-novembre-2024-0-1-3270791"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-belgique-italie-14-novembre-2024-0-1-3270791,200,https://auvio.rtbf.be/media/diables-rouges-belgique-italie-14-novembre-2024-0-1-3270791
14/10/2024,Bruxelles,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,Belgique,France,https://ds1.static.rtbf.be/uploader/image/4/3/1/beta_ffce8dd17bccafaba3d0dde3f4e29325.png,1-2,Nations League 25,https://www.rtbf.be/article/belgique-france-les-diables-rouges-en-quete-d-une-victoire-face-aux-bleus-direct-audio-et-commente-20h45-11447749,"<a href=""https://auvio.rtbf.be/media/diables-rouges-belgique-france-14-octobre-2024-1-2-3257779"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-belgique-france-14-octobre-2024-1-2-3257779,200,https://auvio.rtbf.be/media/diables-rouges-belgique-france-14-octobre-2024-1-2-3257779
10/10/2024,Rome,https://ds1.static.rtbf.be/uploader/image/d/f/1/beta_0ae637143d6f38c971f6e3c0be0c86a8.png,Italie,Belgique,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,2-2,Nations League 25,https://www.rtbf.be/article/italie-belgique-les-diables-rouges-peuvent-ils-l-emporter-face-au-leader-direct-audio-et-commente-20h45-11445920,"<a href=""https://auvio.rtbf.be/media/diables-rouges-italie-belgique-10-octobre-2024-2-2-3256641"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-italie-belgique-10-octobre-2024-2-2-3256641,200,https://auvio.rtbf.be/media/diables-rouges-italie-belgique-10-octobre-2024-2-2-3256641
09/09/2024,Lyon,https://ds1.static.rtbf.be/uploader/image/4/3/1/beta_ffce8dd17bccafaba3d0dde3f4e29325.png,France,Belgique,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,2-0,Nations League 25,https://www.rtbf.be/article/ligue-des-nations-les-diables-rouges-veulent-marquer-les-esprits-en-france-direct-audio-et-commente-20h45-11431399,"<a href=""https://auvio.rtbf.be/media/diables-rouges-france-belgique-09-septembre-2024-2-0-3243794"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-france-belgique-09-septembre-2024-2-0-3243794,200,https://auvio.rtbf.be/media/diables-rouges-france-belgique-09-septembre-2024-2-0-3243794
06/09/2024,Debrecen,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,Belgique,Israël,https://static-content.rtbf.be/uploader/image/3/8/9/beta_1e2669a1eac1218c7486b061c0ff57b5.png,3-1,Nations League 25,https://www.rtbf.be/article/apres-un-euro-rate-les-diables-en-quete-de-redemption-face-a-israel-direct-audio-et-commente-11430100,"<a href=""https://auvio.rtbf.be/media/diables-rouges-belgique-israel-06-septembre-2024-3-1-3242835"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/diables-rouges-belgique-israel-06-septembre-2024-3-1-3242835,200,https://auvio.rtbf.be/media/diables-rouges-belgique-israel-06-septembre-2024-3-1-3242835
01/07/2024,Düsseldorf,https://ds1.static.rtbf.be/uploader/image/4/3/1/beta_ffce8dd17bccafaba3d0dde3f4e29325.png,France,Belgique,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,1-0,Euro 2024,https://www.rtbf.be/article/euro-2024-france-belgique-les-diables-face-a-leurs-meilleurs-rivaux-direct-video-17h-11397662,"<a href=""https://auvio.rtbf.be/media/euro-2024-france-belgique-le-resume-du-match-3214670"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/euro-2024-france-belgique-le-resume-du-match-3214670,200,https://auvio.rtbf.be/media/euro-2024-france-belgique-le-resume-du-match-3214670
26/06/2024,Stuttgart,https://ds1.static.rtbf.be/uploader/image/9/9/a/beta_455cacaabcc92f25a262de72d8e4ddd2.png,Ukraine,Belgique,https://ds1.static.rtbf.be/uploader/image/6/c/b/beta_32a1ddfe1647293bc164de0ef2ec55fc.png,0-0,Euro 2024,https://www.rtbf.be/article/ukraine-belgique-finir-le-boulot-et-se-qualifier-pour-le-tour-suivant-live-video-et-commente-18h-11388911,"<a href=""https://auvio.rtbf.be/media/euro-2024-ukraine-belgique-le-resume-du-match-3212585"" target=""_blank"">Vidéo 🎥</a>",https://auvio.rtbf.be/media/euro-2024-ukraine-belgique-le-resume-du-match-3212585,200,https://auvio.rtbf.be/media/euro-2024-ukraine-belgique-le-resume-du-match-3212585
